scp_id,sport,year,brand,set,name,number,parallel,price,condition,psa_10,cgc_10,psa_9
12523827,football,2025,Topps,Chrome,Alec Pierce,125,,0.0,,0,0,0
12518935,football,2025,Topps,Chrome,Kirk Cousins,13,,0.0,,0,0,0
12534322,football,2025,Topps,Chrome,Nic Scourton,353,,0.0,,0,0,0
12525403,football,2025,Topps,Chrome,Quentin Johnston,159,,0.0,,0,0,0
12551630,football,2025,Topps,Chrome Legends of the Gridiron,Keyshawn Johnson,LOG-23,,0.0,,0,0,0
12525488,football,2025,Topps,Chrome,Najee Harris,161,Pulsar Refractor,0.0,,0,0,0
12523406,football,2025,Topps,Chrome,Xavier McKinney,113,,1.24,,0,0,0
12536853,football,2025,Topps,Chrome,Woody Marks,372,Refractor,1.37,,0,0,0
12534350,football,2025,Topps,Chrome,Tez Johnson,342,Pulsar Refractor,1.54,,0,0,0
12536256,football,2025,Topps,Chrome,Jackson Hawes,397,,1.75,,0,0,0
12536290,football,2025,Topps,Chrome,LeQuint Allen Jr.,384,,1.75,,0,0,0
12524491,football,2025,Topps,Chrome,Brenton Strange,137,,1.99,,0,0,0
12521237,football,2025,Topps,Chrome,Tee Higgins,59,,1.99,,0,0,0
12521429,football,2025,Topps,Chrome,David Njoku,69,,2.15,,0,0,0
12531985,football,2025,Topps,Chrome,Rome Odunze,49,Refractor,2.25,,0,0,0
12528448,football,2025,Topps,Chrome,Malik Nabers,225,,3.17,,0,0,0
12552233,football,2025,Topps,Chrome Power Players,Puka Nacua,PP-24,,4.99,,0,0,0
12530822,football,2025,Topps,Chrome,Deommodore Lenoir,269,,15.0,,0,0,0
12526103,football,2025,Topps,Chrome,Matthew Stafford,169,,15.0,,0,0,0
12552330,football,2025,Topps,Chrome Power Players,Caleb Williams,PP-7,Refractor,19.99,,0,0,0
